Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
11,1990.00,0.000,-2.510,9.8230591120885e+01,2.4329,58.9429,0.8857,17.3062,1.2010,0.0000,6.0275,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8538015137966e+03,-1.1218522948022e+03,3.2342055055756e+02,4.0376196087492e+01,1.4262180899213e+02,5.5005500e-01,1.9821613e-02,2.5682431e-02,5.4927331e-03,0.0000000e+00,6.4727442e-02,3.2435266e-03,3.5612033e-02,0.0000000e+00,0.0000000e+00,9.8020056e-02,9.5177149e-04,1.6826246e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8890,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8538015137966e+03,-1.1218522948022e+03, 3.2342055055756e+02, 4.0376196087492e+01, 1.4262180899213e+02, 2.0201258890355e-03,-2.1749337055712e-04, 5.0032595558483e-05, 5.3866731300253e-06, 2.0201258890355e-03,-2.1749337055712e-04, 5.0032595558483e-05, 5.3866731300253e-06
12,1989.00,0.000,-2.515,9.8230561328318e+01,2.4330,58.9430,0.8857,17.3062,1.2007,0.0000,6.0277,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8534775362997e+03,-1.1219945927583e+03,3.2335740050015e+02,4.0374144781559e+01,1.4262165616357e+02,5.5003713e-01,1.9828092e-02,2.5663845e-02,5.4908413e-03,0.0000000e+00,6.4747811e-02,3.2444134e-03,3.5611759e-02,0.0000000e+00,0.0000000e+00,9.8016099e-02,9.5011699e-04,1.6821843e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8915,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8534775362997e+03,-1.1219945927583e+03, 3.2335740050015e+02, 4.0374144781559e+01, 1.4262165616357e+02, 2.0201198384039e-03,-2.1754334780078e-04, 5.0034987721314e-05, 5.3881846656512e-06, 2.0201198384039e-03,-2.1754334780078e-04, 5.0034987721314e-05, 5.3881846656512e-06
13,1988.00,0.000,-2.520,9.8230531581462e+01,2.4331,58.9430,0.8857,17.3062,1.2004,0.0000,6.0280,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8531536229750e+03,-1.1221368909048e+03,3.2329422288224e+02,4.0372093535557e+01,1.4262150356949e+02,5.5001925e-01,1.9834580e-02,2.5645256e-02,5.4889516e-03,0.0000000e+00,6.4768197e-02,3.2453013e-03,3.5611485e-02,0.0000000e+00,0.0000000e+00,9.8012139e-02,9.4846389e-04,1.6817437e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8939,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8531536229750e+03,-1.1221368909048e+03, 3.2329422288224e+02, 4.0372093535557e+01, 1.4262150356949e+02, 2.0201137970556e-03,-2.1759332188905e-04, 5.0037380282904e-05, 5.3896962687212e-06, 2.0201137970556e-03,-2.1759332188905e-04, 5.0037380282904e-05, 5.3896962687212e-06
14,1987.00,0.000,-2.524,9.8230501880372e+01,2.4333,58.9430,0.8857,17.3062,1.2001,0.0000,6.0283,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8528297738506e+03,-1.1222791892429e+03,3.2323101767920e+02,4.0370042349517e+01,1.4262135121019e+02,5.5000135e-01,1.9841075e-02,2.5626664e-02,5.4870640e-03,0.0000000e+00,6.4788598e-02,3.2461902e-03,3.5611211e-02,0.0000000e+00,0.0000000e+00,9.8008175e-02,9.4681220e-04,1.6813028e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8964,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8528297738506e+03,-1.1222791892429e+03, 3.2323101767920e+02, 4.0370042349517e+01, 1.4262135121019e+02, 2.0201077650023e-03,-2.1764329282688e-04, 5.0039773243548e-05, 5.3912079393565e-06, 2.0201077650023e-03,-2.1764329282688e-04, 5.0039773243548e-05, 5.3912079393565e-06
15,1986.00,0.000,-2.529,9.8230472225106e+01,2.4334,58.9430,0.8857,17.3062,1.1998,0.0000,6.0286,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8525059889549e+03,-1.1224214877741e+03,3.2316778486635e+02,4.0367991223471e+01,1.4262119908595e+02,5.4998344e-01,1.9847577e-02,2.5608069e-02,5.4851785e-03,0.0000000e+00,6.4809015e-02,3.2470801e-03,3.5610936e-02,0.0000000e+00,0.0000000e+00,9.8004209e-02,9.4516191e-04,1.6808616e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8988,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8525059889549e+03,-1.1224214877741e+03, 3.2316778486635e+02, 4.0367991223471e+01, 1.4262119908595e+02, 2.0201017422553e-03,-2.1769326061918e-04, 5.0042166603543e-05, 5.3927196776789e-06, 2.0201017422553e-03,-2.1769326061918e-04, 5.0042166603543e-05, 5.3927196776789e-06
16,1985.00,0.000,-2.534,9.8230442615720e+01,2.4335,58.9430,0.8857,17.3062,1.1995,0.0000,6.0288,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8521822683164e+03,-1.1225637864996e+03,3.2310452441900e+02,4.0365940157451e+01,1.4262104719707e+02,5.4996551e-01,1.9854087e-02,2.5589471e-02,5.4832952e-03,0.0000000e+00,6.4829447e-02,3.2479710e-03,3.5610661e-02,0.0000000e+00,0.0000000e+00,9.8000239e-02,9.4351303e-04,1.6804202e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.9013,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8521822683164e+03,-1.1225637864996e+03, 3.2310452441900e+02, 4.0365940157451e+01, 1.4262104719707e+02, 2.0200957288263e-03,-2.1774322527092e-04, 5.0044560363185e-05, 5.3942314838103e-06, 2.0200957288263e-03,-2.1774322527092e-04, 5.0044560363185e-05, 5.3942314838103e-06
17,1984.00,0.000,-2.539,9.8230413052272e+01,2.4336,58.9430,0.8857,17.3062,1.1992,0.0000,6.0291,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8518586119634e+03,-1.1227060854208e+03,3.2304123631241e+02,4.0363889151487e+01,1.4262089554383e+02,5.4994757e-01,1.9860605e-02,2.5570870e-02,5.4814139e-03,0.0000000e+00,6.4849896e-02,3.2488630e-03,3.5610385e-02,0.0000000e+00,0.0000000e+00,9.7996266e-02,9.4186556e-04,1.6799784e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.9038,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8518586119634e+03,-1.1227060854208e+03, 3.2304123631241e+02, 4.0363889151487e+01, 1.4262089554383e+02, 2.0200897247267e-03,-2.1779318678704e-04, 5.0046954522773e-05, 5.3957433578726e-06, 2.0200897247267e-03,-2.1779318678704e-04, 5.0046954522773e-05, 5.3957433578726e-06
18,1983.00,0.000,-2.544,9.8230383534818e+01,2.4337,58.9431,0.8857,17.3063,1.1989,0.0000,6.0294,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8515350199243e+03,-1.1228483845390e+03,3.2297792052181e+02,4.0361838205612e+01,1.4262074412653e+02,5.4992962e-01,1.9867131e-02,2.5552266e-02,5.4795348e-03,0.0000000e+00,6.4870360e-02,3.2497560e-03,3.5610108e-02,0.0000000e+00,0.0000000e+00,9.7992290e-02,9.4021949e-04,1.6795365e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.9062,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8515350199243e+03,-1.1228483845390e+03, 3.2297792052181e+02, 4.0361838205612e+01, 1.4262074412653e+02, 2.0200837299682e-03,-2.1784314517250e-04, 5.0049349082604e-05, 5.3972552999880e-06, 2.0200837299682e-03,-2.1784314517250e-04, 5.0049349082604e-05, 5.3972552999880e-06
19,1982.00,0.000,-2.548,9.8230354063415e+01,2.4339,58.9431,0.8857,17.3063,1.1986,0.0000,6.0297,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8512114922277e+03,-1.1229906838556e+03,3.2291457702241e+02,4.0359787319857e+01,1.4262059294546e+02,5.4991166e-01,1.9873664e-02,2.5533659e-02,5.4776578e-03,0.0000000e+00,6.4890839e-02,3.2506501e-03,3.5609832e-02,0.0000000e+00,0.0000000e+00,9.7988310e-02,9.3857483e-04,1.6790942e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.9087,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8512114922277e+03,-1.1229906838556e+03, 3.2291457702241e+02, 4.0359787319857e+01, 1.4262059294546e+02, 2.0200777445625e-03,-2.1789310043226e-04, 5.0051744042977e-05, 5.3987673102791e-06, 2.0200777445625e-03,-2.1789310043226e-04, 5.0051744042977e-05, 5.3987673102791e-06
20,1981.00,0.000,-2.553,9.8230324638121e+01,2.4340,58.9431,0.8857,17.3063,1.1983,0.0000,6.0299,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8508880289019e+03,-1.1231329833718e+03,3.2285120578936e+02,4.0357736494254e+01,1.4262044200092e+02,5.4989368e-01,1.9880205e-02,2.5515050e-02,5.4757829e-03,0.0000000e+00,6.4911335e-02,3.2515452e-03,3.5609555e-02,0.0000000e+00,0.0000000e+00,9.7984328e-02,9.3693159e-04,1.6786516e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.9112,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8508880289019e+03,-1.1231329833718e+03, 3.2285120578936e+02, 4.0357736494254e+01, 1.4262044200092e+02, 2.0200717685210e-03,-2.1794305257130e-04, 5.0054139404192e-05, 5.4002793888683e-06, 2.0200717685210e-03,-2.1794305257130e-04, 5.0054139404192e-05, 5.4002793888683e-06
